orde	waterlichaam_code	waterlichaam_naam	categorie	categorie_2	type	statuut	speerpunt_aandachtsgebied	Stroomgebied	bekken	beoordeling_eco	beoordeling_fc	totale_beoordeling_bio	beoordeling_hydmo	fb_eqr	fb_beoordeling	fb_jaar	fp_eqr	fp_beoordeling	fp_jaar	mf_eqr	mf_beoordeling	mf_jaar	mmif_eqr	mmif_beoordeling	mmif_jaar	vis_eqr	vis_beoordeling	vis_jaar	AantalBemonsterdeBiota	AantalNietRelevanteBiota	AantalRelevanteBiota	VerhoudingBemonsterdeBiotaTovRelevanteBiota
L1	L107_33	BOMMELAREVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Slecht	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2014	0.6	Goed	2018	0.5075	Matig	2013-2018	3	2	3	3/mrt
L1	L107_333	DOORLOOP	rivier	rivier	Pb	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	3	3	3	Matig	NA	n.r.	NA	NA	n.r.	NA	NA	n.b.	NA	0.6	Goed	2018	0.6	Matig	2013-2018	2	2	3	2/mrt
L1	L107_34	RINGSLOT	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	3	3	3	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.65	Goed	2015	0.6	Goed	2014	0.52	Matig	2013-2018	3	2	3	3/mrt
L1	L107_37	LANGGELEED	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	3	3	3	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.7	Goed	2015	0.7	Goed	2013	0.465	Matig	2013-2018	3	2	3	3/mrt
VL	VL11_63	ZWALM	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Schelde	Boven-Schelde	4	3	4	Matig	0.66	Goed	2017	NA	n.r.	NA	0.36	Ontoereikend	2017	0.65	Matig	2017	0.4625	Matig	2013-2018	4	1	4	4/apr
VL	VL11_76	BAREBEEK	rivier	rivier	Bg	Natuurlijk     	Andere         	 Schelde	Dijle Zenne	4	3	4	Goed	0.48	Matig	2017	NA	n.r.	NA	0.46	Matig	2017	0.6	Matig	2017	0.33	Ontoereikend	2013-2018	4	1	4	4/apr
L1	L107_56	REYGAERTSVLIET	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Matig	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2015	0.6	Goed	2013	0.35	Ontoereikend	2013-2018	3	2	3	3/mrt
L1	L107_60	GROOTGELEED	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2017	0.45	Matig	2018	0.5	Matig	2013-2018	3	2	3	3/mrt
VL	VL11_84	LAAN	rivier	rivier	Bg	Natuurlijk     	Speerpuntgebied	 Schelde	Dijle Zenne	3	3	3	Goed	0.63	Goed	2018	NA	n.r.	NA	0.47	Matig	2018	0.65	Matig	2018	0.6	Matig	2013-2018	4	1	4	4/apr
L1	L111_1005	KALSIJDEADER	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	5	3	5	Slecht	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2018	0.3	Ontoereikend	2015	0.35	Ontoereikend	2013-2018	3	2	3	3/mrt
L1	L111_1007	STEGERSZWIN	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Brugse Polders	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.07	Slecht	2014	0.3	Ontoereikend	2013	0.35	Ontoereikend	2013-2018	3	2	3	3/mrt
L1	L111_1010	OOSTKERKEVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.28	Ontoereikend	2014	0.55	Matig	2016	0.58	Matig	2013-2018	3	2	3	3/mrt
VL	VL17_147	WARMBEEK	rivier	rivier	BgK	Natuurlijk     	Speerpuntgebied	 Maas	Maas	3	3	3	Goed	0.63	Goed	2018	NA	n.r.	NA	0.5	Matig	2018	0.9	Zeer goed	2018	0.605	Matig	2013-2018	4	1	4	4/apr
L1	L111_1011	BOEREKREEK	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Gentse Kanalen	5	3	5	Matig	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2013	0.6	Goed	2016	0.35	Ontoereikend	2013-2018	3	2	3	3/mrt
VL	VL17_151	ALBERTKANAAL	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	4	3	4	Ontoereikend	0.66	Goed	2018	0.98	Goed	2018	NA	n.r.	NA	0.38	Ontoereikend	2018	0.51	Matig	2013-2018	4	1	4	4/apr
VL	VL17_154	BRAKELEIKEN + LIEVE	rivier	rivier	Rk	Kunstmatig     	Aandachtsgebied	 Schelde	Gentse Kanalen	4	3	4	Ontoereikend	0.7	Goed	2017	NA	n.r.	NA	0.53	Matig	2017	0.65	Matig	2017	0.35	Ontoereikend	2013-2018	4	1	4	4/apr
VL	VL17_156	GENTSE BINNENWATEREN	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Gentse Kanalen	3	3	3	Ontoereikend	0.71	Goed	2018	0.57	Matig	2018	NA	n.r.	NA	0.55	Goed	2017	0.481667	Matig	2013-2018	4	1	4	4/apr
VL	VL17_160	KANAAL DESSEL-KWAADMECHELEN + KANAAL DESSEL-SCHOTEN + KANAAL BOCHOLT-HERENTALS (deels)	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	3	2	3	Ontoereikend	0.74	Goed	2014	0.89	Goed	2018	NA	n.r.	NA	0.46	Matig	2017	0.53	Matig	2013-2018	4	1	4	4/apr
VL	VL17_161	KANAAL DUINKERKE-NIEUWPOORT	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	0.33	Ontoereikend	2016	0.31	Ontoereikend	2018	NA	n.r.	NA	0.65	Goed	2018	0.5075	Matig	2013-2018	4	1	4	4/apr
VL	VL17_168	KANAAL PLASSENDALE-NIEUWPOORT	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Ijzer	5	3	5	Slecht	NA	n.b.	NA	0.59	Matig	2018	NA	n.r.	NA	0.2	Slecht	2018	0.5075	Matig	2013-2018	3	1	4	3/apr
VL	VL17_169	KANAAL ROESELARE-LEIE	rivier	rivier	Rg	Kunstmatig     	Andere         	 Schelde	Leie	5	3	5	Ontoereikend	NA	n.b.	NA	0.25	Ontoereikend	2018	NA	n.r.	NA	0.15	Slecht	2018	0.435	Matig	2013-2018	3	1	4	3/apr
VL	VL17_174	LOKANAAL	rivier	rivier	Rk	Kunstmatig     	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	0.37	Ontoereikend	2017	NA	n.r.	NA	NA	n.b.	NA	0.5	Matig	2016	0.63	Goed	2013-2018	3	1	4	3/apr
VL	VL17_183	ZUID-WILLEMSVAART + KANAAL BOCHOLT-HERENTALS (deels) + KANAAL BRIEGDEN-NEERHAREN	rivier	rivier	Rg	Kunstmatig     	Andere         	 Maas	Maas	3	3	3	Ontoereikend	NA	n.b.	NA	0.59	Matig	2018	NA	n.r.	NA	0.5	Matig	2016	0.473	Matig	2013-2018	3	1	4	3/apr
VL	VL17_184	BLANKENBERGSE HAVENGEUL + JACHTHAVENS	overgangswater	overgangswater	O2zout	Kunstmatig     	Andere         	 Schelde	Brugse Polders	n.b.	3	n.b.		NA	n.v.t.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.		0	4	1	0/1
VL	VL17_185	OOSTENDSE HAVENGEUL + DOKKEN	overgangswater	overgangswater	O2zout	Kunstmatig     	Andere         	 Schelde	Brugse Polders	n.b.	3	n.b.		NA	n.v.t.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.		0	4	1	0/1
VL	VL17_186	ZEEBRUGGE BUITENHAVEN	overgangswater	overgangswater	O2zout	Kunstmatig     	Andere         	 Schelde	Brugse Polders	n.b.	3	n.b.		NA	n.v.t.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.		0	4	1	0/1
VL	VL17_187	ANTWERPSE HAVENDOKKEN + SCHELDE-RIJNVERBINDING	meer	meer	Bzl	Kunstmatig     	Andere         	 Schelde	Beneden-Schelde	4	3	4		0.65	Goed	2014	0.96	Goed	2018	NA	n.r.	NA	0.23	Ontoereikend	2018	NA	n.b.		3	1	4	3/apr
VL	VL17_190	BOUDEWIJNKANAAL + ACHTERHAVEN ZEEBRUGGE	meer	meer	Bs	Kunstmatig     	Andere         	 Schelde	Brugse Polders	3	3	2		NA	n.r.	NA	0.8	Goed	2017	NA	n.r.	NA	NA	n.r.	NA	NA	n.b.		1	3	2	1/feb
L1	L111_1015	OUDE AVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Matig	NA	n.r.	NA	NA	n.r.	NA	0.32	Ontoereikend	2017	0.6	Goed	2017	0.57	Matig	2013-2018	3	2	3	3/mrt
L1	L111_1034	NIEUWE GRACHT	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2018	0.45	Matig	2017	0.52	Matig	2013-2018	3	2	3	3/mrt
VL	VL17_29	GROOT SCHIJN	rivier	rivier	BgK	Natuurlijk     	Aandachtsgebied	 Schelde	Beneden-Schelde	5	3	5	Goed	0.42	Matig	2018	NA	n.r.	NA	0.59	Matig	2018	0.65	Matig	2018	0	Slecht	2013-2018	4	1	4	4/apr
L1	L111_1048	ZIJDELINGSGELEED	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2015	0.6	Goed	2013	0.525	Matig	2013-2018	3	2	3	3/mrt
L1	L111_1101	GROTE KEIGNAERT	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.38	Ontoereikend	2016	0.45	Matig	2014	0.49	Matig	2013-2018	3	2	3	3/mrt
L1	L111_1107	SLIJKVAART	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	5	3	5	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0	Slecht	2015	0.6	Goed	2018	0.6	Matig	2013-2018	3	2	3	3/mrt
L1	L111_1108	STEENGRACHT	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.22	Ontoereikend	2015	0.3	Ontoereikend	2014	0.6	Matig	2013-2018	3	2	3	3/mrt
L1	L111_18	ST-MACHUITSBEEK	rivier	rivier	Pb	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	0.2	Ontoereikend	2016	0.6	Goed	2013	0.5075	Matig	2013-2018	3	2	3	3/mrt
VL	VL11_79	DIJLE III	rivier	rivier	Rg	Sterk Veranderd	Andere         	 Schelde	Dijle Zenne	3	3	2	Ontoereikend	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.	NA	NA	n.r.	NA	0.7	Goed	2013-2018	1	4	1	1/jan
VL	VL17_15	HAVENGEUL IJZER	overgangswater	overgangswater	O2zout	Sterk Veranderd	Andere         	 Schelde	Ijzer	4	3	4	Ontoereikend	NA	n.v.t.	NA	NA	n.r.	NA	0.35	Ontoereikend	2018	0.54	Matig	2018	0.51	Matig	2013-2018	3	1	4	3/apr
VL	VL17_66	BELLEBEEK	rivier	rivier	Bg	Natuurlijk     	Aandachtsgebied	 Schelde	Dender	4	3	4	Matig	0.43	Matig	2017	NA	n.r.	NA	0.37	Ontoereikend	2017	0.6	Matig	2017	0.58	Matig	2013-2018	4	1	4	4/apr
VL	VL17_43	ZEESCHELDE IV	overgangswater	overgangswater	O1brak	Sterk Veranderd	Aandachtsgebied	 Schelde	Beneden-Schelde	4	3	4	Ontoereikend	NA	n.v.t.	NA	NA	n.r.	NA	0.26	Ontoereikend	2018	0.7	Matig	2018	0.62	Goed	2013-2018	3	1	4	3/apr
